rank,ticker,company,sector,market_cap,latest_fiscal_year,status
227,TOWL,"Towellers Limited","Textile Composite",2173280000,2026,"basis 2025 FY"
228,MUGHALC,"Mughal Iron & Steel Industries Ltd(C)","Engineering",2149059060,2025,"STALE FY2025"
229,JSML,"Jauharabad Sugar Mills Limited","Sugar & Allied Industries",2129615529.9999998,2026,"basis 2025 FY"
230,MERIT,"Merit Packaging Limited","Paper, Board & Packaging",2101563069.9999998,2026,"ok"
231,SHJS,"Shahtaj Sugar Mills Limited","Sugar & Allied Industries",2098837089.9999998,2026,"basis 2025 FY"
232,MWMP,"Mandviwala Mauser Plastic Industries","Miscellaneous",2025880930,2026,"basis 2025 FY"
233,KHYT,"Khyber Textile Mills Limited","Textile Composite",2006962500,2026,"ok"
234,PMRS,"The Premier Sugar Mills","Sugar & Allied Industries",1979925000,2026,"basis 2025 FY"
235,KCL,"Karam Ceramics Limited","Glass & Ceramics",1969651740,2026,"basis 2025 FY"
236,STPL,"Siddiqsons Tin Plate Limited","Miscellaneous",1919063000,2026,"ok"
237,DFSM,"Dewan Farooque Spinning Mills Limited","Textile Spinning",1903206640,2026,"ok"
238,SGPL,"S.G. Power Limited","Power Generation & Distribution",1902267440,2026,"basis 2025 FY"
239,FRSM,"Faran Sugar Mills Limited","Sugar & Allied Industries",1875981760,2026,"basis 2025 FY"
240,SZTM,"Shahzad Textile Mills Limited","Textile Spinning",1815108570,2026,"ok"
241,NATM,"Nadeem Textile Mills Limited","Textile Spinning",1796826440,2026,"basis 2025 FY"
242,ANSM,"Ansari Sugar Mills Limited","Sugar & Allied Industries",1757077360,2026,"basis 2025 FY"
243,EMCO,"Emco Industries Limited","Cable & Electrical Goods",1738433460,2026,"ok"
244,REDCO,"Redco Textiles Limited","Textile Composite",1729677330,2026,"ok"
245,NONS,"Noon Sugar Mills Limited","Sugar & Allied Industries",1687258130,2026,"basis 2025 FY"
246,FCSC,"First Capital Securities Corporation","Inv. Banks / Inv. Cos. / Securities Cos.",1611545490,2026,"basis 2025 FY"
247,SHDT,"Shadab Textile Mills Limited","Textile Spinning",1605898000,2026,"ok"
248,SANSM,"Sanghar Sugar Mills Limited","Sugar & Allied Industries",1564687080,2026,"basis 2025 FY"
249,PAKD,"Pak Datacom Limited","Technology & Communication",1564111210,2026,"basis 2025 FY"
250,NAGC,"Nagina Cotton Mills Limited","Textile Spinning",1555466000,2026,"ok"
251,ZUMA,"Zuma Resources Limited","Technology & Communication",1536900000,2026,"basis 2025 FY"
252,TCORP,"Tariq Corporation Limited","Sugar & Allied Industries",1505530130,2026,"basis 2025 FY"
253,CLVL,"Cordoba Logistics & Ventures Limited","Transport",1468782920,2026,"ok"
